freq,psd_x,psd_y,psd_z,psd_xyz,accel_per_hz,smooth_zv(18.0),smooth_mzv(44.6),smooth_ei(48.0),smooth_2hump_ei(45.9),smooth_zvd_ei(52.2),smooth_si(45.7),mzv(52.0),ei(69.6),2hump_ei(69.6),2mode_zv(44.7)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,60.0,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
1.6,1.717e+00,2.323e+03,1.428e+01,2.339e+03,60.0,0.990,0.998,0.998,0.998,0.997,0.998,0.999,0.999,0.998,0.998
3.1,8.354e-01,7.740e+02,7.871e-01,7.756e+02,60.0,0.961,0.992,0.992,0.991,0.990,0.991,0.994,0.995,0.991,0.992
4.7,6.825e-01,3.021e+02,6.956e-01,3.034e+02,60.0,0.912,0.982,0.982,0.980,0.977,0.979,0.987,0.988,0.980,0.982
6.2,7.113e-01,2.197e+02,5.245e-01,2.210e+02,60.0,0.846,0.968,0.968,0.964,0.959,0.963,0.977,0.979,0.964,0.968
7.8,6.485e-01,1.973e+02,4.936e-01,1.985e+02,60.0,0.764,0.950,0.951,0.944,0.937,0.943,0.964,0.968,0.945,0.950
9.4,5.395e-01,2.448e+02,4.357e-01,2.458e+02,60.0,0.667,0.928,0.930,0.920,0.910,0.919,0.949,0.953,0.921,0.928
10.9,6.915e-01,2.906e+02,4.628e-01,2.918e+02,60.0,0.560,0.903,0.905,0.892,0.878,0.891,0.930,0.937,0.894,0.903
12.5,7.842e-01,3.514e+02,4.584e-01,3.526e+02,60.0,0.444,0.874,0.877,0.861,0.844,0.859,0.910,0.918,0.863,0.875
14.0,5.292e-01,4.161e+02,4.026e-01,4.171e+02,60.0,0.323,0.842,0.847,0.826,0.805,0.824,0.886,0.897,0.828,0.843
15.6,3.929e-01,5.338e+02,3.503e-01,5.345e+02,60.0,0.200,0.807,0.813,0.788,0.764,0.786,0.861,0.874,0.791,0.809
17.2,5.597e-01,6.562e+02,3.453e-01,6.571e+02,60.0,0.086,0.770,0.777,0.748,0.720,0.745,0.833,0.849,0.751,0.772
18.7,1.446e+00,8.576e+02,3.643e-01,8.594e+02,60.0,0.083,0.730,0.738,0.706,0.674,0.702,0.803,0.822,0.709,0.732
20.3,4.903e+00,1.122e+03,5.018e-01,1.127e+03,60.0,0.163,0.688,0.698,0.661,0.627,0.657,0.771,0.793,0.665,0.690
21.8,5.721e+00,1.214e+03,8.441e-01,1.221e+03,60.0,0.227,0.644,0.655,0.616,0.578,0.611,0.737,0.762,0.619,0.647
23.4,2.282e+00,1.033e+03,1.051e+00,1.036e+03,60.0,0.293,0.599,0.612,0.569,0.529,0.564,0.702,0.731,0.572,0.601
25.0,1.005e+00,1.061e+03,1.341e+00,1.063e+03,60.0,0.358,0.552,0.567,0.521,0.481,0.516,0.665,0.697,0.524,0.555
26.5,1.246e+00,7.367e+02,1.074e+00,7.390e+02,60.0,0.411,0.505,0.522,0.473,0.432,0.468,0.627,0.663,0.477,0.508
28.1,1.512e+00,7.962e+02,6.181e-01,7.983e+02,60.0,0.452,0.457,0.476,0.426,0.385,0.421,0.588,0.628,0.429,0.460
29.6,2.712e+00,1.087e+03,4.961e-01,1.090e+03,60.0,0.481,0.409,0.431,0.379,0.339,0.374,0.549,0.591,0.382,0.412
